Timestamp,Frame,RoundValue,Stage,CorrectedBalance,BalanceChange,Outcome,RawBalanceValue,AccumulatedWin
2025-03-29 20:21:47.795596,10,4998,,4998.00,0.00,0.00,499800,0.00
2025-03-29 20:21:49.968908,70,4997,x1,4997.00,-1.00,-1.00,499700,-1.00
2025-03-29 20:21:51.914947,125,4996,x1,4996.00,-1.00,-1.00,499600,-1.00
2025-03-29 20:21:53.691289,175,4995,x1,4995.00,-1.00,-1.00,499500,-1.00
2025-03-29 20:21:55.636645,230,4994,x1,4994.00,-1.00,-1.00,499400,-1.00
2025-03-29 20:21:57.593373,285,4993,x1,4993.00,-1.00,-1.00,499300,-1.00
2025-03-29 20:21:59.730806,345,4992,x1,4992.00,-1.00,-1.00,499200,-1.00
2025-03-29 20:22:06.194942,515,4992,x2,4992.00,0.00,STAGE_CHANGE,499200,-1.00
