epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,102.012,0.52304,0.46014,0.82189,0.92506,0.98269,0.97208,0.89189,0.45102,0.39471,0.72997,0.000248772,0.000248772,0.000248772
43,103.732,0.52287,0.46666,0.82076,0.96786,0.97198,0.99062,0.91328,0.40644,0.37978,0.72251,0.000236083,0.000236083,0.000236083
44,105.509,0.47418,0.44603,0.81356,0.95874,0.98401,0.99073,0.91026,0.42367,0.35486,0.72583,0.000223395,0.000223395,0.000223395
45,107.342,0.4757,0.44375,0.81021,0.95921,0.9849,0.99083,0.89007,0.47497,0.34061,0.73477,0.000210706,0.000210706,0.000210706
46,109.643,0.5001,0.46777,0.81313,0.96318,0.98557,0.99082,0.9092,0.44463,0.32966,0.72934,0.000198018,0.000198018,0.000198018
47,112.891,0.46007,0.42725,0.80944,0.9703,0.98504,0.99071,0.92419,0.38069,0.32341,0.71883,0.000185329,0.000185329,0.000185329
48,114.922,0.45721,0.43675,0.79769,0.96924,0.98432,0.99083,0.93634,0.36487,0.31753,0.71637,0.000172641,0.000172641,0.000172641
49,116.698,0.45954,0.44434,0.81425,0.96335,0.98377,0.99097,0.92138,0.37961,0.31557,0.71947,0.000159952,0.000159952,0.000159952
50,118.521,0.47404,0.42569,0.79908,0.95972,0.98329,0.99088,0.90466,0.41744,0.32411,0.72626,0.000147264,0.000147264,0.000147264
51,127.366,0.473,0.4453,0.80207,0.96212,0.98152,0.99083,0.89941,0.42628,0.33485,0.72605,0.000134575,0.000134575,0.000134575
52,131.361,0.46123,0.44626,0.8043,0.96646,0.96214,0.99095,0.90497,0.40909,0.35341,0.7201,0.000121887,0.000121887,0.000121887
53,133.883,0.42853,0.43106,0.79505,0.96415,0.95572,0.99069,0.91474,0.40682,0.36592,0.7149,0.000109198,0.000109198,0.000109198
54,135.756,0.40384,0.39309,0.80373,0.95539,0.96477,0.991,0.90527,0.44538,0.37274,0.71875,9.65095e-05,9.65095e-05,9.65095e-05
55,137.591,0.43835,0.40615,0.80514,0.95912,0.96381,0.99103,0.9054,0.45974,0.36867,0.71978,8.3821e-05,8.3821e-05,8.3821e-05
56,140.348,0.43569,0.39115,0.79902,0.9637,0.96325,0.991,0.90581,0.44649,0.3549,0.71806,7.11325e-05,7.11325e-05,7.11325e-05
57,143.25,0.40322,0.39044,0.79539,0.96779,0.96352,0.99102,0.91192,0.42494,0.34153,0.71578,5.8444e-05,5.8444e-05,5.8444e-05
58,145.014,0.42855,0.41042,0.7889,0.97219,0.96518,0.99103,0.91631,0.4105,0.33405,0.71438,4.57555e-05,4.57555e-05,4.57555e-05
59,146.759,0.418,0.40766,0.80132,0.97445,0.96737,0.99107,0.91593,0.40659,0.32967,0.71473,3.3067e-05,3.3067e-05,3.3067e-05
60,148.476,0.39605,0.37889,0.80217,0.97531,0.96803,0.99108,0.92247,0.4055,0.32478,0.71501,2.03785e-05,2.03785e-05,2.03785e-05
